@RELATION svmSentimentAnalysis
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {NEGATIVE,POSITIVE}

@DATA
0.225094,0.023532,2.914019,0.288264,0.193194,1.149124,0.010242,0.297250,-28.061567,1.367912,-0.178519,-0.381788,0.083096,-0.164007,0.047440,-0.077766,-0.085280,-0.138134,-0.123094,-0.201389,-0.202904,0.018351,0.010830,0.025021,0.008584,0.010263,0.018553,0.010050,0.002440,0.006271,0.015219,0.014395,0.006538,0.014089,0.000125,-0.000017,0.050590,0.001458,0.000773,0.015650,-0.000246,0.002500,-0.101030,0.002226,-0.036533,-0.029305,-0.020571,-0.012263,-0.008471,0.006628,-0.002011,-0.005379,-0.010331,-0.001209,0.005246,-0.000700,0.001146,-0.001883,-0.000339,0.000291,0.000657,-0.002368,0.000058,0.000170,0.001012,-0.001103,0.000086,-0.000797,0.166206,0.032186,0.377479,0.128692,0.048300,0.538825,0.004727,0.210401,2.637703,1.291685,0.833640,0.753912,0.625664,0.415329,0.308434,0.234835,0.200993,0.221296,0.279797,0.238548,0.232043,0.016934,0.016336,0.029838,0.011188,0.011774,0.025615,0.017453,0.002221,0.010429,0.015042,0.013895,0.007962,0.009144,0.140679,0.030374,0.626512,0.109607,0.051545,0.631202,0.007668,0.188631,2.895477,1.165486,0.761671,0.885003,0.716042,0.425693,0.423173,0.280085,0.262357,0.336425,0.320878,0.237939,0.296525,0.029968,0.014788,0.026001,0.015324,0.009299,0.030779,0.018800,0.003335,0.013808,0.015085,0.019528,0.010675,0.009515,NEGATIVE
0.242532,0.005913,3.018081,0.295956,0.198416,1.392842,0.008465,0.342208,-29.521635,0.957895,-0.032490,0.118940,-0.245313,0.287688,-0.281297,0.035764,-0.046931,-0.247061,0.203019,-0.281577,-0.123980,0.013270,0.007614,0.025004,0.009692,0.006948,0.007274,0.010313,0.002589,0.005668,0.016727,0.009012,0.003999,0.011207,-0.005695,-0.000023,0.034511,-0.003816,0.000388,0.007656,0.000417,-0.001750,-0.177617,0.043404,0.055063,0.117473,0.030981,-0.037379,-0.055072,0.000583,-0.019411,0.022478,0.017212,-0.017324,-0.000746,0.000808,-0.000980,0.004689,-0.000601,-0.000065,-0.001302,0.000124,-0.000031,-0.000229,0.007297,0.000861,0.000454,0.001708,0.150384,0.010495,0.274074,0.119326,0.028668,0.652628,0.007221,0.191852,1.914375,1.403179,0.522972,0.450188,0.363727,0.321686,0.196523,0.274430,0.209411,0.200728,0.217679,0.178542,0.163293,0.018609,0.007415,0.027873,0.010065,0.006309,0.008116,0.009358,0.002551,0.006066,0.018063,0.012923,0.003643,0.010036,0.105999,0.010191,0.363879,0.080912,0.034480,0.580702,0.007156,0.137986,1.628219,1.239557,0.518361,0.485304,0.401467,0.412965,0.307233,0.358821,0.211035,0.246268,0.227515,0.212304,0.225786,0.018867,0.011562,0.028241,0.013453,0.007412,0.009807,0.013212,0.003492,0.007233,0.023710,0.014464,0.004143,0.009974,NEGATIVE
0.123311,0.016222,3.011150,0.205190,0.194841,0.841666,0.017843,0.190771,-28.049381,2.298021,-0.012442,-0.271081,-0.153096,-0.072714,-0.176538,-0.159356,-0.241641,-0.262178,-0.184873,-0.224801,-0.192927,0.035300,0.009598,0.043312,0.026124,0.021633,0.018950,0.012792,0.002144,0.009516,0.009851,0.011744,0.007101,0.028244,-0.000972,0.000154,0.010089,-0.001523,-0.000900,-0.012645,0.000085,-0.002232,0.105577,0.014717,-0.021593,-0.013214,-0.001290,-0.005943,0.000251,-0.009564,-0.005444,0.001648,-0.000554,0.003748,-0.006253,-0.000079,-0.000076,-0.000014,0.000115,-0.000112,0.000766,0.000139,-0.000058,0.000154,-0.000079,-0.000073,0.000025,0.000141,0.089355,0.018381,0.421217,0.085173,0.040652,0.669872,0.014979,0.152877,3.098175,1.219462,0.885617,0.622791,0.404194,0.407778,0.308483,0.286166,0.273426,0.281358,0.319337,0.275392,0.284770,0.039139,0.012080,0.046594,0.030763,0.027001,0.025325,0.015651,0.002846,0.013612,0.011029,0.013502,0.010162,0.018057,0.088976,0.016570,0.598956,0.082441,0.044023,0.640847,0.019876,0.155087,2.216237,1.273285,0.773392,0.609179,0.473199,0.418125,0.341185,0.339272,0.292467,0.302280,0.325058,0.278159,0.289331,0.035094,0.013124,0.049015,0.034510,0.031371,0.031014,0.018650,0.003706,0.014883,0.012795,0.015633,0.012335,0.016008,NEGATIVE
0.148174,0.049723,2.914044,0.221443,0.196214,0.946810,0.011533,0.231036,-25.451359,1.888653,0.099854,-0.303255,-0.451385,-0.023897,-0.007965,-0.192271,-0.017064,-0.263716,-0.198687,-0.314589,-0.373904,0.030101,0.014723,0.045648,0.032753,0.007540,0.006693,0.006186,0.001870,0.008151,0.005085,0.006969,0.012989,0.023358,0.005382,-0.001457,-0.000930,0.005988,0.003118,0.061092,0.000130,0.014684,-0.210672,-0.055366,-0.008340,0.036116,0.005913,-0.021925,-0.006182,-0.001822,0.017686,0.013898,0.010825,0.010263,-0.000989,-0.000037,-0.000236,-0.002810,-0.000480,-0.000067,-0.000986,0.000401,0.000064,0.000273,0.000181,0.000310,0.000232,-0.000678,0.082309,0.040604,0.502808,0.076581,0.028014,0.671597,0.008805,0.156107,2.155381,1.227012,0.719217,0.549940,0.220218,0.410208,0.292905,0.297145,0.342013,0.256891,0.345879,0.247841,0.260429,0.031392,0.023334,0.042910,0.038496,0.007234,0.011013,0.007736,0.002732,0.011509,0.003683,0.007304,0.017919,0.011026,0.053389,0.046731,0.664255,0.060532,0.024918,0.497763,0.010456,0.141670,2.340115,0.918501,0.733406,0.513753,0.246125,0.463207,0.339092,0.318563,0.374527,0.237755,0.326588,0.257693,0.217123,0.033792,0.031498,0.032167,0.026744,0.008377,0.012561,0.011094,0.003869,0.015482,0.004909,0.008827,0.015560,0.008869,NEGATIVE
0.119837,0.030489,2.775883,0.205910,0.204638,0.651563,0.018649,0.138708,-26.484599,2.469742,-0.160153,-0.437631,-0.147843,-0.161663,0.068759,-0.251680,-0.192430,-0.479225,-0.294243,-0.275908,-0.264541,0.026285,0.006298,0.075720,0.035329,0.016285,0.014485,0.016068,0.008994,0.007426,0.006604,0.006514,0.008265,0.032903,-0.029224,-0.001609,0.030584,-0.017196,0.008142,-0.167455,0.000220,-0.050333,-0.179693,0.334537,-0.046497,0.098022,0.103469,-0.029798,0.022751,-0.037546,-0.001463,-0.057227,-0.045353,-0.003023,-0.007396,0.001859,-0.000082,0.021723,0.000923,0.000122,0.000116,-0.000071,-0.000207,0.000010,0.000159,0.000086,-0.000079,0.005826,0.101832,0.033756,0.593933,0.089474,0.044427,0.447138,0.020055,0.111830,3.326212,0.857741,1.139796,0.625718,0.406029,0.260988,0.237750,0.306496,0.177488,0.280924,0.368002,0.268164,0.310214,0.027488,0.005446,0.069796,0.048355,0.017092,0.018579,0.016084,0.014676,0.012090,0.008465,0.006907,0.010479,0.019393,0.095557,0.034580,0.859840,0.111943,0.049083,0.674287,0.029596,0.180177,3.009103,1.464026,1.176956,0.482217,0.453654,0.301014,0.310931,0.426995,0.237763,0.349983,0.449859,0.309861,0.295546,0.030902,0.007665,0.057140,0.056027,0.024968,0.025898,0.019432,0.013540,0.016880,0.008965,0.007716,0.010555,0.013913,NEGATIVE
0.133396,0.017258,3.033045,0.204030,0.183794,0.849409,0.020479,0.205250,-26.878692,2.078043,-1.017851,-0.543250,-0.284174,0.302800,0.221155,-0.148747,0.074285,-0.094808,-0.372931,-0.081519,-0.079826,0.009691,0.006223,0.021305,0.016195,0.015305,0.010581,0.009841,0.008570,0.010492,0.026140,0.032022,0.004821,0.023772,-0.003942,-0.000386,0.005122,-0.003491,0.000130,-0.030211,0.000176,-0.005583,0.044463,0.095124,-0.017624,-0.014871,0.038293,-0.028052,0.024943,0.007787,-0.004324,-0.001280,0.012977,-0.010692,0.015831,0.001124,0.000080,-0.000043,-0.000803,0.000924,0.002553,0.000742,-0.000070,-0.000050,-0.000265,-0.000360,0.000013,0.000517,0.097860,0.019810,0.265576,0.101418,0.052414,0.547519,0.009840,0.187577,2.486784,0.963302,1.002659,0.526650,0.743924,0.499320,0.402030,0.354294,0.290471,0.372140,0.330387,0.196074,0.283935,0.013712,0.009273,0.024610,0.019451,0.024888,0.018468,0.014297,0.016048,0.017955,0.036322,0.043396,0.005758,0.011592,0.108907,0.021929,0.339863,0.107098,0.056291,0.665743,0.013400,0.236915,2.232682,0.896365,0.896613,0.505813,0.712124,0.452697,0.460589,0.449046,0.379784,0.377737,0.369249,0.272251,0.251644,0.015392,0.012676,0.034169,0.025757,0.031037,0.022587,0.020654,0.019160,0.021351,0.041749,0.045943,0.007432,0.015484,NEGATIVE
0.159616,0.017056,2.931451,0.239809,0.205161,1.210876,0.010794,0.237750,-29.748978,1.663839,-0.289505,-0.653602,-0.232886,0.231926,-0.098880,0.001881,-0.079171,-0.096213,-0.339629,-0.085346,-0.035994,0.011056,0.006315,0.022639,0.031409,0.013695,0.009379,0.013587,0.005855,0.004745,0.014149,0.019141,0.008482,0.017892,-0.005118,0.000008,0.001603,-0.004830,-0.002491,-0.058359,0.000726,-0.010889,0.047008,0.040264,-0.002490,-0.023154,-0.029139,-0.000445,-0.010436,0.002548,0.000789,-0.008564,-0.006141,-0.005645,0.005905,-0.000283,-0.000155,0.001339,0.004453,-0.000105,-0.000109,-0.000316,-0.000007,0.000050,-0.000133,-0.000913,-0.001168,0.000877,0.091306,0.023145,0.359194,0.087994,0.035888,0.611071,0.007879,0.171632,3.822144,0.899486,0.904704,0.486645,0.395435,0.346421,0.303013,0.292285,0.230848,0.212833,0.224812,0.270689,0.250417,0.012579,0.008733,0.018280,0.026716,0.014510,0.009432,0.012377,0.012376,0.004012,0.020785,0.021871,0.008245,0.008570,0.070174,0.025844,0.493358,0.075811,0.031774,0.471680,0.007461,0.146192,2.616634,0.797241,0.640239,0.452515,0.362530,0.333000,0.351758,0.346436,0.273275,0.261403,0.268532,0.262672,0.237291,0.013465,0.011329,0.021483,0.035118,0.017240,0.013113,0.016977,0.017680,0.004803,0.025985,0.029784,0.009498,0.011137,NEGATIVE
0.167849,0.013237,2.812210,0.232907,0.200164,1.137041,0.017173,0.246806,-28.352915,1.501904,-0.484376,-0.646992,-0.153503,0.275452,0.117239,-0.239110,-0.069502,0.030276,-0.267791,-0.015609,-0.171807,0.012527,0.004581,0.017961,0.019800,0.015672,0.010713,0.026182,0.028415,0.006793,0.009142,0.016267,0.004381,0.021371,0.000904,0.000002,-0.009772,-0.000466,-0.000822,-0.046306,0.000775,0.005694,0.303885,0.031286,0.058476,-0.036849,0.021693,-0.038983,-0.005670,-0.058160,-0.030557,-0.007185,-0.019334,-0.002415,-0.013293,-0.000128,-0.000154,-0.001074,0.003167,0.005559,0.001795,-0.000498,-0.000051,-0.000117,-0.000210,-0.000435,-0.000263,0.001517,0.111003,0.032482,0.576471,0.088030,0.038602,0.779578,0.009993,0.188905,3.960845,0.902749,1.031855,0.427253,0.414421,0.442456,0.353548,0.449396,0.294582,0.290068,0.254172,0.214977,0.372622,0.019877,0.004507,0.027844,0.024976,0.030278,0.012717,0.031234,0.047981,0.007988,0.008173,0.032646,0.005947,0.013632,0.141697,0.043823,0.764434,0.113245,0.045780,1.149973,0.012894,0.249987,3.387913,1.253441,1.065801,0.577504,0.620530,0.415260,0.382612,0.468050,0.374206,0.308732,0.261231,0.195492,0.342956,0.024765,0.005424,0.038165,0.032106,0.037414,0.018124,0.045601,0.062337,0.009787,0.009994,0.043677,0.008919,0.020464,NEGATIVE
0.186263,0.013066,3.033521,0.265666,0.211287,1.223825,0.011940,0.285289,-29.177869,1.354803,0.023099,-0.235828,-0.130988,0.255008,0.012093,-0.119837,-0.117237,-0.136453,-0.301799,-0.201121,-0.050928,0.021084,0.004725,0.038180,0.020346,0.013339,0.012320,0.014505,0.003064,0.004206,0.011262,0.012099,0.006947,0.021965,0.000797,0.000000,0.005185,0.000147,-0.000171,0.002276,-0.000001,0.000312,0.001038,0.000873,0.009080,-0.003946,0.010114,0.000821,-0.003565,0.005526,-0.003776,0.003149,0.003780,-0.000657,0.002287,-0.000077,-0.000022,0.000040,0.000155,-0.000032,-0.000043,-0.000003,0.000030,-0.000015,0.000047,-0.000060,-0.000060,0.000013,0.123532,0.024255,0.297979,0.096181,0.043136,0.637966,0.007808,0.205016,3.303469,1.011417,1.003558,0.520862,0.499702,0.426442,0.349328,0.292298,0.327137,0.232582,0.299331,0.309688,0.312623,0.024739,0.005679,0.045426,0.029363,0.023349,0.021149,0.021266,0.003639,0.004196,0.015765,0.017632,0.014170,0.015279,0.114007,0.024765,0.392996,0.087063,0.041490,0.616251,0.010153,0.218400,2.513862,0.924305,0.819635,0.563417,0.482283,0.438665,0.385784,0.308028,0.316960,0.260149,0.308358,0.318201,0.285296,0.025816,0.007256,0.049115,0.031045,0.025777,0.024356,0.021855,0.004908,0.005346,0.019848,0.023172,0.016047,0.014874,NEGATIVE
0.143215,0.013807,2.999812,0.208563,0.169157,1.056863,0.015981,0.211958,-26.967579,1.193312,-0.704210,-0.635658,-0.295966,0.500374,0.026804,-0.123766,-0.135107,-0.008866,-0.369192,-0.189019,-0.006395,0.014249,0.005584,0.017958,0.013368,0.012840,0.005621,0.009237,0.007386,0.020340,0.010428,0.013185,0.005839,0.018486,0.003901,-0.000479,-0.031697,0.002220,0.000091,0.005623,-0.000086,0.003927,-0.266091,0.034015,0.098437,-0.064361,-0.016966,-0.055472,0.008646,0.035911,0.001550,-0.003984,-0.013228,-0.012076,-0.002491,0.000431,-0.000087,-0.000101,0.000204,0.000357,0.000288,-0.000238,-0.000844,-0.000212,-0.000539,-0.000615,-0.000103,-0.000117,0.073894,0.018256,0.330992,0.061211,0.036162,0.508753,0.008595,0.117729,2.676872,0.917728,0.913526,0.631109,0.509074,0.450184,0.330538,0.364840,0.236357,0.285958,0.261807,0.340734,0.279892,0.021244,0.007381,0.021991,0.021283,0.013655,0.006948,0.014075,0.011708,0.034871,0.012297,0.019333,0.011144,0.012756,0.057402,0.016933,0.343964,0.053734,0.042306,0.580773,0.009444,0.130259,1.782114,0.784792,0.763049,0.602401,0.490807,0.403895,0.369637,0.292939,0.288979,0.361522,0.295312,0.325461,0.296673,0.026905,0.009023,0.025587,0.027768,0.014884,0.008485,0.019940,0.015227,0.043531,0.014672,0.024745,0.015354,0.015725,NEGATIVE
